[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID23.idf
Date:	13.03.2019 16:00:24
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID23                                                                                                                                                                                                                                                
Description:	23                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	29738766992	# Message: Trial_1
UserEvent	1	2	29738769261	# Message: WhiteCross
UserEvent	1	3	29755536960	# Message: Recalibration
UserEvent	1	4	29787544099	# Message: RecalibrationEnd
UserEvent	1	5	29804168196	# Message: Recalibration
UserEvent	1	6	29832151467	# Message: RecalibrationEnd
UserEvent	1	7	29834748709	# Message: ChoicePhase
UserEvent	1	8	29839008691	# Message: ChoiceLogged_1
UserEvent	1	9	29839513207	# Message: GreenCross
UserEvent	1	10	29841013575	# Message: Trial_2
UserEvent	1	11	29841015647	# Message: WhiteCross
UserEvent	1	12	29842845171	# Message: ChoicePhase
UserEvent	1	13	29847514566	# Message: ChoiceLogged_3
UserEvent	1	14	29848018531	# Message: GreenCross
UserEvent	1	15	29849520914	# Message: Trial_3
UserEvent	1	16	29849522958	# Message: WhiteCross
UserEvent	1	17	29851165715	# Message: ChoicePhase
UserEvent	1	18	29854964587	# Message: ChoiceLogged_2
UserEvent	1	19	29855472296	# Message: GreenCross
UserEvent	1	20	29856975228	# Message: Trial_4
UserEvent	1	21	29856977346	# Message: WhiteCross
UserEvent	1	22	29858621040	# Message: ChoicePhase
UserEvent	1	23	29861259607	# Message: ChoiceLogged_2
UserEvent	1	24	29861767854	# Message: GreenCross
UserEvent	1	25	29863269851	# Message: Trial_5
UserEvent	1	26	29863271932	# Message: WhiteCross
UserEvent	1	27	29865103122	# Message: ChoicePhase
UserEvent	1	28	29868407087	# Message: ChoiceLogged_3
UserEvent	1	29	29868911419	# Message: GreenCross
UserEvent	1	30	29870412342	# Message: Trial_6
UserEvent	1	31	29870414894	# Message: WhiteCross
UserEvent	1	32	29872199213	# Message: ChoicePhase
UserEvent	1	33	29876004677	# Message: ChoiceLogged_2
UserEvent	1	34	29876508177	# Message: GreenCross
UserEvent	1	35	29878008161	# Message: Trial_7
UserEvent	1	36	29878009982	# Message: WhiteCross
UserEvent	1	37	29879650769	# Message: ChoicePhase
UserEvent	1	38	29882502602	# Message: ChoiceLogged_3
UserEvent	1	39	29883005416	# Message: GreenCross
UserEvent	1	40	29884510188	# Message: Trial_8
UserEvent	1	41	29884511624	# Message: WhiteCross
UserEvent	1	42	29886347028	# Message: ChoicePhase
UserEvent	1	43	29892482018	# Message: ChoiceLogged_2
UserEvent	1	44	29892986313	# Message: GreenCross
UserEvent	1	45	29894486277	# Message: Trial_9
UserEvent	1	46	29894492763	# Message: WhiteCross
UserEvent	1	47	29896390564	# Message: ChoicePhase
UserEvent	1	48	29899762617	# Message: ChoiceLogged_1
UserEvent	1	49	29900266420	# Message: GreenCross
UserEvent	1	50	29901768746	# Message: Trial_10
UserEvent	1	51	29901779885	# Message: WhiteCross
UserEvent	1	52	29903774803	# Message: ChoicePhase
UserEvent	1	53	29905547309	# Message: ChoiceLogged_1
UserEvent	1	54	29906049948	# Message: GreenCross
UserEvent	1	55	29907550651	# Message: Trial_11
UserEvent	1	56	29907552881	# Message: WhiteCross
UserEvent	1	57	29909186906	# Message: ChoicePhase
UserEvent	1	58	29910725512	# Message: ChoiceLogged_3
UserEvent	1	59	29911228186	# Message: GreenCross
UserEvent	1	60	29912728291	# Message: Trial_12
UserEvent	1	61	29912730603	# Message: WhiteCross
UserEvent	1	62	29917623566	# Message: ChoicePhase
UserEvent	1	63	29920472325	# Message: ChoiceLogged_1
UserEvent	1	64	29920974574	# Message: GreenCross
UserEvent	1	65	29922476247	# Message: Trial_13
UserEvent	1	66	29922480769	# Message: WhiteCross
UserEvent	1	67	29924116565	# Message: ChoicePhase
UserEvent	1	68	29926903340	# Message: ChoiceLogged_3
UserEvent	1	69	29927408705	# Message: GreenCross
UserEvent	1	70	29928909478	# Message: Trial_14
UserEvent	1	71	29928910618	# Message: WhiteCross
UserEvent	1	72	29930547475	# Message: ChoicePhase
UserEvent	1	73	29934521461	# Message: ChoiceLogged_1
UserEvent	1	74	29935028304	# Message: GreenCross
UserEvent	1	75	29936528770	# Message: Trial_15
UserEvent	1	76	29936530882	# Message: WhiteCross
UserEvent	1	77	29938177438	# Message: ChoicePhase
UserEvent	1	78	29940017652	# Message: ChoiceLogged_3
UserEvent	1	79	29940523298	# Message: GreenCross
UserEvent	1	80	29942023445	# Message: Trial_16
UserEvent	1	81	29942024930	# Message: WhiteCross
UserEvent	1	82	29943657784	# Message: ChoicePhase
UserEvent	1	83	29947387885	# Message: ChoiceLogged_1
UserEvent	1	84	29947888350	# Message: GreenCross
UserEvent	1	85	29949387687	# Message: Trial_17
UserEvent	1	86	29949390039	# Message: WhiteCross
UserEvent	1	87	29951025872	# Message: ChoicePhase
UserEvent	1	88	29953178671	# Message: ChoiceLogged_3
UserEvent	1	89	29953683051	# Message: GreenCross
UserEvent	1	90	29955183286	# Message: Trial_18
UserEvent	1	91	29955188098	# Message: WhiteCross
UserEvent	1	92	29957058105	# Message: ChoicePhase
UserEvent	1	93	29960660310	# Message: ChoiceLogged_3
UserEvent	1	94	29961162221	# Message: GreenCross
UserEvent	1	95	29962665246	# Message: Trial_19
UserEvent	1	96	29962666687	# Message: WhiteCross
UserEvent	1	97	29964666799	# Message: ChoicePhase
UserEvent	1	98	29971806956	# Message: ChoiceLogged_1
UserEvent	1	99	29972313523	# Message: GreenCross
UserEvent	1	100	29973816019	# Message: Trial_20
UserEvent	1	101	29973817550	# Message: WhiteCross
UserEvent	1	102	29975729502	# Message: ChoicePhase
UserEvent	1	103	29979284557	# Message: ChoiceLogged_1
UserEvent	1	104	29979789204	# Message: GreenCross
UserEvent	1	105	29981289170	# Message: Trial_21
UserEvent	1	106	29981290771	# Message: WhiteCross
UserEvent	1	107	29982927106	# Message: ChoicePhase
UserEvent	1	108	29988616217	# Message: ChoiceLogged_2
UserEvent	1	109	29989122342	# Message: GreenCross
UserEvent	1	110	29990626653	# Message: Trial_22
UserEvent	1	111	29990628856	# Message: WhiteCross
UserEvent	1	112	29992506712	# Message: ChoicePhase
UserEvent	1	113	29993796224	# Message: ChoiceLogged_2
UserEvent	1	114	29994300305	# Message: GreenCross
UserEvent	1	115	29995802345	# Message: Trial_23
UserEvent	1	116	29995806060	# Message: WhiteCross
UserEvent	1	117	29997674673	# Message: ChoicePhase
UserEvent	1	118	30002209920	# Message: ChoiceLogged_2
UserEvent	1	119	30002713484	# Message: GreenCross
UserEvent	1	120	30004213480	# Message: Trial_24
UserEvent	1	121	30004214554	# Message: WhiteCross
UserEvent	1	122	30005852290	# Message: ChoicePhase
UserEvent	1	123	30009426941	# Message: ChoiceLogged_2
UserEvent	1	124	30009930853	# Message: GreenCross
UserEvent	1	125	30011431200	# Message: Trial_25
UserEvent	1	126	30011433147	# Message: WhiteCross
UserEvent	1	127	30013066512	# Message: ChoicePhase
UserEvent	1	128	30014593112	# Message: ChoiceLogged_3
UserEvent	1	129	30015096355	# Message: GreenCross
UserEvent	1	130	30016596335	# Message: Trial_26
UserEvent	1	131	30016597731	# Message: WhiteCross
UserEvent	1	132	30018230863	# Message: ChoicePhase
UserEvent	1	133	30022486542	# Message: ChoiceLogged_2
UserEvent	1	134	30022989594	# Message: GreenCross
UserEvent	1	135	30024489423	# Message: Trial_27
UserEvent	1	136	30024491972	# Message: WhiteCross
UserEvent	1	137	30026132202	# Message: ChoicePhase
UserEvent	1	138	30029500425	# Message: ChoiceLogged_3
UserEvent	1	139	30030003544	# Message: GreenCross
UserEvent	1	140	30031504333	# Message: Trial_28
UserEvent	1	141	30031505636	# Message: WhiteCross
UserEvent	1	142	30033379059	# Message: ChoicePhase
UserEvent	1	143	30036364447	# Message: ChoiceLogged_3
UserEvent	1	144	30036868432	# Message: GreenCross
UserEvent	1	145	30038369289	# Message: Trial_29
UserEvent	1	146	30038371669	# Message: WhiteCross
UserEvent	1	147	30040006923	# Message: ChoicePhase
UserEvent	1	148	30041612580	# Message: ChoiceLogged_2
UserEvent	1	149	30042116569	# Message: GreenCross
UserEvent	1	150	30043617446	# Message: Trial_30
UserEvent	1	151	30043619988	# Message: WhiteCross
UserEvent	1	152	30045254948	# Message: ChoicePhase
UserEvent	1	153	30047761035	# Message: ChoiceLogged_1
UserEvent	1	154	30048264172	# Message: GreenCross
UserEvent	1	155	30049766243	# Message: Trial_31
UserEvent	1	156	30049767863	# Message: WhiteCross
UserEvent	1	157	30051402633	# Message: ChoicePhase
UserEvent	1	158	30052896979	# Message: ChoiceLogged_2
UserEvent	1	159	30053402279	# Message: GreenCross
UserEvent	1	160	30054902177	# Message: Trial_32
UserEvent	1	161	30054903557	# Message: WhiteCross
UserEvent	1	162	30056536897	# Message: ChoicePhase
UserEvent	1	163	30059956142	# Message: ChoiceLogged_1
UserEvent	1	164	30060459474	# Message: GreenCross
UserEvent	1	165	30061959186	# Message: Trial_33
UserEvent	1	166	30061960617	# Message: WhiteCross
UserEvent	1	167	30063598488	# Message: ChoicePhase
UserEvent	1	168	30065804285	# Message: ChoiceLogged_2
UserEvent	1	169	30066309010	# Message: GreenCross
UserEvent	1	170	30067809127	# Message: Trial_34
UserEvent	1	171	30067810674	# Message: WhiteCross
UserEvent	1	172	30069932312	# Message: ChoicePhase
UserEvent	1	173	30071468762	# Message: ChoiceLogged_1
UserEvent	1	174	30071972443	# Message: GreenCross
UserEvent	1	175	30073472103	# Message: Trial_35
UserEvent	1	176	30073473650	# Message: WhiteCross
UserEvent	1	177	30075110830	# Message: ChoicePhase
UserEvent	1	178	30077183631	# Message: ChoiceLogged_2
UserEvent	1	179	30077687259	# Message: GreenCross
UserEvent	1	180	30079189313	# Message: Trial_36
UserEvent	1	181	30079191109	# Message: WhiteCross
UserEvent	1	182	30080825445	# Message: ChoicePhase
UserEvent	1	183	30083897665	# Message: ChoiceLogged_1
UserEvent	1	184	30084402448	# Message: GreenCross
UserEvent	1	185	30085901170	# Message: Trial_37
UserEvent	1	186	30085902739	# Message: WhiteCross
UserEvent	1	187	30088223215	# Message: ChoicePhase
UserEvent	1	188	30089830987	# Message: ChoiceLogged_3
UserEvent	1	189	30090340920	# Message: GreenCross
UserEvent	1	190	30091843572	# Message: Trial_38
UserEvent	1	191	30091848871	# Message: WhiteCross
UserEvent	1	192	30093787759	# Message: ChoicePhase
UserEvent	1	193	30095660335	# Message: ChoiceLogged_1
UserEvent	1	194	30096163515	# Message: GreenCross
UserEvent	1	195	30097664323	# Message: Trial_39
UserEvent	1	196	30097666983	# Message: WhiteCross
UserEvent	1	197	30099602424	# Message: ChoicePhase
UserEvent	1	198	30101358528	# Message: ChoiceLogged_3
UserEvent	1	199	30101863909	# Message: GreenCross
UserEvent	1	200	30103364194	# Message: Trial_40
UserEvent	1	201	30103365534	# Message: WhiteCross
UserEvent	1	202	30105003358	# Message: ChoicePhase
UserEvent	1	203	30108455844	# Message: ChoiceLogged_2
UserEvent	1	204	30108959197	# Message: GreenCross
UserEvent	1	205	30110460110	# Message: Trial_41
UserEvent	1	206	30110461668	# Message: WhiteCross
UserEvent	1	207	30112398003	# Message: ChoicePhase
UserEvent	1	208	30116052889	# Message: ChoiceLogged_3
UserEvent	1	209	30116558279	# Message: GreenCross
UserEvent	1	210	30118058265	# Message: Trial_42
UserEvent	1	211	30118059653	# Message: WhiteCross
UserEvent	1	212	30119962025	# Message: ChoicePhase
UserEvent	1	213	30121767537	# Message: ChoiceLogged_3
UserEvent	1	214	30122271985	# Message: GreenCross
UserEvent	1	215	30123773382	# Message: Trial_43
UserEvent	1	216	30123777566	# Message: WhiteCross
UserEvent	1	217	30125676480	# Message: ChoicePhase
UserEvent	1	218	30127382456	# Message: ChoiceLogged_3
UserEvent	1	219	30127886543	# Message: GreenCross
UserEvent	1	220	30129390133	# Message: Trial_44
UserEvent	1	221	30129394491	# Message: WhiteCross
UserEvent	1	222	30131024326	# Message: ChoicePhase
UserEvent	1	223	30134096753	# Message: ChoiceLogged_2
UserEvent	1	224	30134600610	# Message: GreenCross
UserEvent	1	225	30136101499	# Message: Trial_45
UserEvent	1	226	30136102578	# Message: WhiteCross
UserEvent	1	227	30137741255	# Message: ChoicePhase
UserEvent	1	228	30140344347	# Message: ChoiceLogged_1
UserEvent	1	229	30140846610	# Message: GreenCross
UserEvent	1	230	30142347267	# Message: Trial_46
UserEvent	1	231	30142348638	# Message: WhiteCross
UserEvent	1	232	30144203028	# Message: ChoicePhase
UserEvent	1	233	30148374878	# Message: ChoiceLogged_3
UserEvent	1	234	30148880119	# Message: GreenCross
UserEvent	1	235	30150382761	# Message: Trial_47
UserEvent	1	236	30150386343	# Message: WhiteCross
UserEvent	1	237	30152351297	# Message: ChoicePhase
UserEvent	1	238	30154189489	# Message: ChoiceLogged_1
UserEvent	1	239	30154694736	# Message: GreenCross
UserEvent	1	240	30156195194	# Message: Trial_48
UserEvent	1	241	30156196682	# Message: WhiteCross
UserEvent	1	242	30157831587	# Message: ChoicePhase
UserEvent	1	243	30160121560	# Message: ChoiceLogged_2
UserEvent	1	244	30160625968	# Message: GreenCross
UserEvent	1	245	30162126490	# Message: Trial_49
UserEvent	1	246	30162127780	# Message: WhiteCross
UserEvent	1	247	30163997370	# Message: ChoicePhase
UserEvent	1	248	30165235841	# Message: ChoiceLogged_1
UserEvent	1	249	30165739255	# Message: GreenCross
UserEvent	1	250	30167239596	# Message: Trial_50
UserEvent	1	251	30167241771	# Message: WhiteCross
UserEvent	1	252	30168877891	# Message: ChoicePhase
UserEvent	1	253	30171799852	# Message: ChoiceLogged_1
UserEvent	1	254	30172303349	# Message: GreenCross
UserEvent	1	255	30173803500	# Message: Trial_51
UserEvent	1	256	30173804594	# Message: WhiteCross
UserEvent	1	257	30176764328	# Message: ChoicePhase
UserEvent	1	258	30178568533	# Message: ChoiceLogged_3
UserEvent	1	259	30179072809	# Message: GreenCross
UserEvent	1	260	30180578999	# Message: Trial_52
UserEvent	1	261	30180581168	# Message: WhiteCross
UserEvent	1	262	30182222913	# Message: ChoicePhase
UserEvent	1	263	30184033274	# Message: ChoiceLogged_1
UserEvent	1	264	30184539280	# Message: GreenCross
UserEvent	1	265	30186039266	# Message: Trial_53
UserEvent	1	266	30186040850	# Message: WhiteCross
UserEvent	1	267	30187808053	# Message: ChoicePhase
UserEvent	1	268	30189893446	# Message: ChoiceLogged_2
UserEvent	1	269	30190397984	# Message: GreenCross
UserEvent	1	270	30191898370	# Message: Trial_54
UserEvent	1	271	30191899728	# Message: WhiteCross
UserEvent	1	272	30193535903	# Message: ChoicePhase
UserEvent	1	273	30195058649	# Message: ChoiceLogged_1
UserEvent	1	274	30195561220	# Message: GreenCross
UserEvent	1	275	30197061451	# Message: Trial_55
UserEvent	1	276	30197062540	# Message: WhiteCross
UserEvent	1	277	30198977225	# Message: ChoicePhase
UserEvent	1	278	30200256758	# Message: ChoiceLogged_3
UserEvent	1	279	30200760194	# Message: GreenCross
UserEvent	1	280	30202261517	# Message: Trial_56
UserEvent	1	281	30202262629	# Message: WhiteCross
UserEvent	1	282	30204066504	# Message: ChoicePhase
UserEvent	1	283	30205956255	# Message: ChoiceLogged_3
UserEvent	1	284	30206460091	# Message: GreenCross
UserEvent	1	285	30207961709	# Message: Trial_57
UserEvent	1	286	30207964012	# Message: WhiteCross
UserEvent	1	287	30209596778	# Message: ChoicePhase
UserEvent	1	288	30213235296	# Message: ChoiceLogged_1
UserEvent	1	289	30213738504	# Message: GreenCross
UserEvent	1	290	30215238258	# Message: Trial_58
UserEvent	1	291	30215239663	# Message: WhiteCross
UserEvent	1	292	30217080306	# Message: ChoicePhase
UserEvent	1	293	30218650329	# Message: ChoiceLogged_2
UserEvent	1	294	30219154652	# Message: GreenCross
UserEvent	1	295	30220659117	# Message: Trial_59
UserEvent	1	296	30220660928	# Message: WhiteCross
UserEvent	1	297	30222295701	# Message: ChoicePhase
UserEvent	1	298	30225447995	# Message: ChoiceLogged_1
UserEvent	1	299	30225951247	# Message: GreenCross
UserEvent	1	300	30227451359	# Message: Trial_60
UserEvent	1	301	30227453999	# Message: WhiteCross
UserEvent	1	302	30229090049	# Message: ChoicePhase
UserEvent	1	303	30231512547	# Message: ChoiceLogged_1
UserEvent	1	304	30232016739	# Message: GreenCross
UserEvent	1	305	30233517403	# Message: Trial_61
UserEvent	1	306	30233519853	# Message: WhiteCross
UserEvent	1	307	30235154299	# Message: ChoicePhase
UserEvent	1	308	30239659501	# Message: ChoiceLogged_1
UserEvent	1	309	30240162258	# Message: GreenCross
UserEvent	1	310	30241665550	# Message: Trial_62
UserEvent	1	311	30241668275	# Message: WhiteCross
UserEvent	1	312	30243301729	# Message: ChoicePhase
UserEvent	1	313	30244807774	# Message: ChoiceLogged_2
UserEvent	1	314	30245311326	# Message: GreenCross
UserEvent	1	315	30246811961	# Message: Trial_63
UserEvent	1	316	30246813735	# Message: WhiteCross
UserEvent	1	317	30248632809	# Message: ChoicePhase
UserEvent	1	318	30251821559	# Message: ChoiceLogged_3
UserEvent	1	319	30252329530	# Message: GreenCross
UserEvent	1	320	30253832824	# Message: Trial_64
UserEvent	1	321	30253834740	# Message: WhiteCross
UserEvent	1	322	30255730226	# Message: ChoicePhase
UserEvent	1	323	30257070869	# Message: ChoiceLogged_3
UserEvent	1	324	30257574273	# Message: GreenCross
UserEvent	1	325	30259074242	# Message: Trial_65
UserEvent	1	326	30259079245	# Message: WhiteCross
UserEvent	1	327	30260911718	# Message: ChoicePhase
UserEvent	1	328	30262986318	# Message: ChoiceLogged_1
UserEvent	1	329	30263496769	# Message: GreenCross
UserEvent	1	330	30264997445	# Message: Trial_66
