[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID7.idf
Date:	07.03.2019 16:07:27
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID7                                                                                                                                                                                                                                                 
Description:	7                                                                                                                                                                                                                                                               

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	11089458779	# Message: Trial_1
UserEvent	1	2	11089463763	# Message: WhiteCross
UserEvent	1	3	11091106464	# Message: ChoicePhase
UserEvent	1	4	11092246602	# Message: ChoiceLogged_1
UserEvent	1	5	11092752199	# Message: GreenCross
UserEvent	1	6	11094255955	# Message: Trial_2
UserEvent	1	7	11094257858	# Message: WhiteCross
UserEvent	1	8	11096088190	# Message: ChoicePhase
UserEvent	1	9	11097377916	# Message: ChoiceLogged_3
UserEvent	1	10	11097882044	# Message: GreenCross
UserEvent	1	11	11099382736	# Message: Trial_3
UserEvent	1	12	11099384172	# Message: WhiteCross
UserEvent	1	13	11101774130	# Message: ChoicePhase
UserEvent	1	14	11102875437	# Message: ChoiceLogged_1
UserEvent	1	15	11103377502	# Message: GreenCross
UserEvent	1	16	11104877650	# Message: Trial_4
UserEvent	1	17	11104880021	# Message: WhiteCross
UserEvent	1	18	11106851846	# Message: ChoicePhase
UserEvent	1	19	11107794259	# Message: ChoiceLogged_3
UserEvent	1	20	11108297099	# Message: GreenCross
UserEvent	1	21	11109797387	# Message: Trial_5
UserEvent	1	22	11109802775	# Message: WhiteCross
UserEvent	1	23	11111733024	# Message: ChoicePhase
UserEvent	1	24	11113871706	# Message: ChoiceLogged_3
UserEvent	1	25	11114378170	# Message: GreenCross
UserEvent	1	26	11115879316	# Message: Trial_6
UserEvent	1	27	11115881205	# Message: WhiteCross
UserEvent	1	28	11117846831	# Message: ChoicePhase
UserEvent	1	29	11119303253	# Message: ChoiceLogged_3
UserEvent	1	30	11119805625	# Message: GreenCross
UserEvent	1	31	11121306266	# Message: Trial_7
UserEvent	1	32	11121308084	# Message: WhiteCross
UserEvent	1	33	11123245242	# Message: ChoicePhase
UserEvent	1	34	11125051144	# Message: ChoiceLogged_1
UserEvent	1	35	11125553597	# Message: GreenCross
UserEvent	1	36	11127053376	# Message: Trial_8
UserEvent	1	37	11127054781	# Message: WhiteCross
UserEvent	1	38	11129096214	# Message: ChoicePhase
UserEvent	1	39	11130932772	# Message: ChoiceLogged_1
UserEvent	1	40	11131437079	# Message: GreenCross
UserEvent	1	41	11132939257	# Message: Trial_9
UserEvent	1	42	11132941798	# Message: WhiteCross
UserEvent	1	43	11135007431	# Message: ChoicePhase
UserEvent	1	44	11137284616	# Message: ChoiceLogged_3
UserEvent	1	45	11137789762	# Message: GreenCross
UserEvent	1	46	11139290166	# Message: Trial_10
UserEvent	1	47	11139296311	# Message: WhiteCross
UserEvent	1	48	11141955220	# Message: ChoicePhase
UserEvent	1	49	11143714342	# Message: ChoiceLogged_2
UserEvent	1	50	11144217161	# Message: GreenCross
UserEvent	1	51	11145720035	# Message: Trial_11
UserEvent	1	52	11145722618	# Message: WhiteCross
UserEvent	1	53	11147686115	# Message: ChoicePhase
UserEvent	1	54	11148980610	# Message: ChoiceLogged_1
UserEvent	1	55	11149483340	# Message: GreenCross
UserEvent	1	56	11150983973	# Message: Trial_12
UserEvent	1	57	11150986059	# Message: WhiteCross
UserEvent	1	58	11152917848	# Message: ChoicePhase
UserEvent	1	59	11154223878	# Message: ChoiceLogged_1
UserEvent	1	60	11154728631	# Message: GreenCross
UserEvent	1	61	11156229162	# Message: Trial_13
UserEvent	1	62	11156230685	# Message: WhiteCross
UserEvent	1	63	11158184084	# Message: ChoicePhase
UserEvent	1	64	11159555516	# Message: ChoiceLogged_2
UserEvent	1	65	11160057012	# Message: GreenCross
UserEvent	1	66	11161557056	# Message: Trial_14
UserEvent	1	67	11161558698	# Message: WhiteCross
UserEvent	1	68	11163531891	# Message: ChoicePhase
UserEvent	1	69	11164670114	# Message: ChoiceLogged_3
UserEvent	1	70	11165175533	# Message: GreenCross
UserEvent	1	71	11166675999	# Message: Trial_15
UserEvent	1	72	11166677702	# Message: WhiteCross
UserEvent	1	73	11169295775	# Message: ChoicePhase
UserEvent	1	74	11170518298	# Message: ChoiceLogged_3
UserEvent	1	75	11171022426	# Message: GreenCross
UserEvent	1	76	11172523784	# Message: Trial_16
UserEvent	1	77	11172525952	# Message: WhiteCross
UserEvent	1	78	11174429205	# Message: ChoicePhase
UserEvent	1	79	11176550101	# Message: ChoiceLogged_2
UserEvent	1	80	11177054968	# Message: GreenCross
UserEvent	1	81	11178556788	# Message: Trial_17
UserEvent	1	82	11178560860	# Message: WhiteCross
UserEvent	1	83	11180459440	# Message: ChoicePhase
UserEvent	1	84	11181630856	# Message: ChoiceLogged_1
UserEvent	1	85	11182133346	# Message: GreenCross
UserEvent	1	86	11183634044	# Message: Trial_18
UserEvent	1	87	11183635727	# Message: WhiteCross
UserEvent	1	88	11185672839	# Message: ChoicePhase
UserEvent	1	89	11186795420	# Message: ChoiceLogged_1
UserEvent	1	90	11187298707	# Message: GreenCross
UserEvent	1	91	11188801771	# Message: Trial_19
UserEvent	1	92	11188803841	# Message: WhiteCross
UserEvent	1	93	11190437800	# Message: ChoicePhase
UserEvent	1	94	11191614264	# Message: ChoiceLogged_1
UserEvent	1	95	11192117450	# Message: GreenCross
UserEvent	1	96	11193616811	# Message: Trial_20
