[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID14.idf
Date:	12.03.2019 09:36:37
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID14                                                                                                                                                                                                                                                
Description:	14                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	6897994719	# Message: Trial_1
UserEvent	1	2	6897997109	# Message: WhiteCross
UserEvent	1	3	6900546518	# Message: ChoicePhase
UserEvent	1	4	6901185045	# Message: ChoiceLogged_2
UserEvent	1	5	6901688355	# Message: GreenCross
UserEvent	1	6	6903188508	# Message: Trial_2
UserEvent	1	7	6903190821	# Message: WhiteCross
UserEvent	1	8	6904827956	# Message: ChoicePhase
UserEvent	1	9	6905937228	# Message: ChoiceLogged_3
UserEvent	1	10	6906440305	# Message: GreenCross
UserEvent	1	11	6907941991	# Message: Trial_3
UserEvent	1	12	6907943834	# Message: WhiteCross
UserEvent	1	13	6909575484	# Message: ChoicePhase
UserEvent	1	14	6911149449	# Message: ChoiceLogged_3
UserEvent	1	15	6911651861	# Message: GreenCross
UserEvent	1	16	6913152595	# Message: Trial_4
UserEvent	1	17	6913154684	# Message: WhiteCross
UserEvent	1	18	6915056871	# Message: ChoicePhase
UserEvent	1	19	6916763084	# Message: ChoiceLogged_1
UserEvent	1	20	6917265342	# Message: GreenCross
UserEvent	1	21	6918764253	# Message: Trial_5
UserEvent	1	22	6918766194	# Message: WhiteCross
UserEvent	1	23	6920804976	# Message: ChoicePhase
UserEvent	1	24	6922994128	# Message: ChoiceLogged_1
UserEvent	1	25	6923496368	# Message: GreenCross
UserEvent	1	26	6924997432	# Message: Trial_6
UserEvent	1	27	6925003203	# Message: WhiteCross
UserEvent	1	28	6926636052	# Message: ChoicePhase
UserEvent	1	29	6928592065	# Message: ChoiceLogged_3
UserEvent	1	30	6929096561	# Message: GreenCross
UserEvent	1	31	6930597274	# Message: Trial_7
UserEvent	1	32	6930599987	# Message: WhiteCross
UserEvent	1	33	6932567725	# Message: ChoicePhase
UserEvent	1	34	6934889641	# Message: ChoiceLogged_1
UserEvent	1	35	6935395140	# Message: GreenCross
UserEvent	1	36	6936897655	# Message: Trial_8
UserEvent	1	37	6936899579	# Message: WhiteCross
UserEvent	1	38	6938531714	# Message: ChoicePhase
UserEvent	1	39	6940621550	# Message: ChoiceLogged_2
UserEvent	1	40	6941127791	# Message: GreenCross
UserEvent	1	41	6942630598	# Message: Trial_9
UserEvent	1	42	6942633049	# Message: WhiteCross
UserEvent	1	43	6944446188	# Message: ChoicePhase
UserEvent	1	44	6946702162	# Message: ChoiceLogged_2
UserEvent	1	45	6947204709	# Message: GreenCross
UserEvent	1	46	6948705028	# Message: Trial_10
UserEvent	1	47	6948706857	# Message: WhiteCross
UserEvent	1	48	6950347809	# Message: ChoicePhase
UserEvent	1	49	6951916774	# Message: ChoiceLogged_3
UserEvent	1	50	6952418995	# Message: GreenCross
UserEvent	1	51	6953918024	# Message: Trial_11
UserEvent	1	52	6953919735	# Message: WhiteCross
UserEvent	1	53	6955559168	# Message: ChoicePhase
UserEvent	1	54	6957282139	# Message: ChoiceLogged_3
UserEvent	1	55	6957784277	# Message: GreenCross
UserEvent	1	56	6959285374	# Message: Trial_12
UserEvent	1	57	6959287426	# Message: WhiteCross
UserEvent	1	58	6961006983	# Message: ChoicePhase
UserEvent	1	59	6962779586	# Message: ChoiceLogged_2
UserEvent	1	60	6963281979	# Message: GreenCross
UserEvent	1	61	6964782788	# Message: Trial_13
UserEvent	1	62	6964784470	# Message: WhiteCross
UserEvent	1	63	6966426173	# Message: ChoicePhase
UserEvent	1	64	6968361131	# Message: ChoiceLogged_2
UserEvent	1	65	6968864940	# Message: GreenCross
UserEvent	1	66	6970364890	# Message: Trial_14
UserEvent	1	67	6970370037	# Message: WhiteCross
UserEvent	1	68	6972003041	# Message: ChoicePhase
UserEvent	1	69	6973742311	# Message: ChoiceLogged_3
UserEvent	1	70	6974245711	# Message: GreenCross
UserEvent	1	71	6975748713	# Message: Trial_15
UserEvent	1	72	6975750328	# Message: WhiteCross
UserEvent	1	73	6977567665	# Message: ChoicePhase
UserEvent	1	74	6979473599	# Message: ChoiceLogged_3
UserEvent	1	75	6979976924	# Message: GreenCross
UserEvent	1	76	6981480263	# Message: Trial_16
UserEvent	1	77	6981482321	# Message: WhiteCross
UserEvent	1	78	6983135853	# Message: ChoicePhase
UserEvent	1	79	6986022519	# Message: ChoiceLogged_2
UserEvent	1	80	6986525129	# Message: GreenCross
UserEvent	1	81	6988024946	# Message: Trial_17
UserEvent	1	82	6988027515	# Message: WhiteCross
UserEvent	1	83	6989663700	# Message: ChoicePhase
UserEvent	1	84	6991570640	# Message: ChoiceLogged_1
UserEvent	1	85	6992075291	# Message: GreenCross
UserEvent	1	86	6993576031	# Message: Trial_18
UserEvent	1	87	6993578201	# Message: WhiteCross
UserEvent	1	88	6995212139	# Message: ChoicePhase
UserEvent	1	89	6996917657	# Message: ChoiceLogged_3
UserEvent	1	90	6997419804	# Message: GreenCross
UserEvent	1	91	6998919910	# Message: Trial_19
UserEvent	1	92	6998922454	# Message: WhiteCross
UserEvent	1	93	7000559477	# Message: ChoicePhase
UserEvent	1	94	7001932848	# Message: ChoiceLogged_2
UserEvent	1	95	7002434973	# Message: GreenCross
UserEvent	1	96	7003934638	# Message: Trial_20
UserEvent	1	97	7003936136	# Message: WhiteCross
UserEvent	1	98	7005575215	# Message: ChoicePhase
UserEvent	1	99	7007547110	# Message: ChoiceLogged_1
UserEvent	1	100	7008049138	# Message: GreenCross
UserEvent	1	101	7009548891	# Message: Trial_21
UserEvent	1	102	7009550681	# Message: WhiteCross
UserEvent	1	103	7011372224	# Message: ChoicePhase
UserEvent	1	104	7013111804	# Message: ChoiceLogged_1
UserEvent	1	105	7013616063	# Message: GreenCross
UserEvent	1	106	7015116633	# Message: Trial_22
UserEvent	1	107	7015118517	# Message: WhiteCross
UserEvent	1	108	7016804354	# Message: ChoicePhase
UserEvent	1	109	7020261651	# Message: ChoiceLogged_2
UserEvent	1	110	7020765052	# Message: GreenCross
UserEvent	1	111	7022265873	# Message: Trial_23
UserEvent	1	112	7022268065	# Message: WhiteCross
UserEvent	1	113	7024134682	# Message: ChoicePhase
UserEvent	1	114	7026140167	# Message: ChoiceLogged_3
UserEvent	1	115	7026643876	# Message: GreenCross
UserEvent	1	116	7028144872	# Message: Trial_24
UserEvent	1	117	7028147071	# Message: WhiteCross
UserEvent	1	118	7029782477	# Message: ChoicePhase
UserEvent	1	119	7031105439	# Message: ChoiceLogged_2
UserEvent	1	120	7031608825	# Message: GreenCross
UserEvent	1	121	7033113087	# Message: Trial_25
UserEvent	1	122	7033123792	# Message: WhiteCross
UserEvent	1	123	7034749202	# Message: ChoicePhase
UserEvent	1	124	7036939769	# Message: ChoiceLogged_3
UserEvent	1	125	7037446652	# Message: GreenCross
UserEvent	1	126	7038946555	# Message: Trial_26
UserEvent	1	127	7038947891	# Message: WhiteCross
UserEvent	1	128	7041061629	# Message: ChoicePhase
UserEvent	1	129	7044017166	# Message: ChoiceLogged_2
UserEvent	1	130	7044520536	# Message: GreenCross
UserEvent	1	131	7046021114	# Message: Trial_27
UserEvent	1	132	7046023223	# Message: WhiteCross
UserEvent	1	133	7047663350	# Message: ChoicePhase
UserEvent	1	134	7049601114	# Message: ChoiceLogged_3
UserEvent	1	135	7050104822	# Message: GreenCross
UserEvent	1	136	7051604713	# Message: Trial_28
UserEvent	1	137	7051606921	# Message: WhiteCross
UserEvent	1	138	7053308643	# Message: ChoicePhase
