[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID3.idf
Date:	07.03.2019 08:32:49
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID3                                                                                                                                                                                                                                                 
Description:	3                                                                                                                                                                                                                                                               

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	2710356278	# Message: Trial_1
UserEvent	1	2	2710359295	# Message: WhiteCross
UserEvent	1	3	2713165362	# Message: ChoicePhase
UserEvent	1	4	2717070645	# Message: ChoiceLogged_2
UserEvent	1	5	2717577050	# Message: GreenCross
UserEvent	1	6	2719077889	# Message: Trial_2
UserEvent	1	7	2719080290	# Message: WhiteCross
UserEvent	1	8	2721012659	# Message: ChoicePhase
UserEvent	1	9	2723001456	# Message: ChoiceLogged_3
UserEvent	1	10	2723505029	# Message: GreenCross
UserEvent	1	11	2725005798	# Message: Trial_3
UserEvent	1	12	2725008351	# Message: WhiteCross
UserEvent	1	13	2727412300	# Message: ChoicePhase
UserEvent	1	14	2730117705	# Message: ChoiceLogged_1
UserEvent	1	15	2730623211	# Message: GreenCross
UserEvent	1	16	2732123725	# Message: Trial_4
UserEvent	1	17	2732126520	# Message: WhiteCross
UserEvent	1	18	2738189355	# Message: ChoicePhase
UserEvent	1	19	2742144411	# Message: ChoiceLogged_3
UserEvent	1	20	2742646981	# Message: GreenCross
UserEvent	1	21	2744147492	# Message: Trial_5
UserEvent	1	22	2744151560	# Message: WhiteCross
UserEvent	1	23	2748639211	# Message: ChoicePhase
UserEvent	1	24	2750841064	# Message: ChoiceLogged_1
UserEvent	1	25	2751346310	# Message: GreenCross
UserEvent	1	26	2752849703	# Message: Trial_6
UserEvent	1	27	2752852026	# Message: WhiteCross
UserEvent	1	28	2758298479	# Message: ChoicePhase
UserEvent	1	29	2761071032	# Message: ChoiceLogged_2
UserEvent	1	30	2761574335	# Message: GreenCross
UserEvent	1	31	2763074183	# Message: Trial_7
UserEvent	1	32	2763076379	# Message: WhiteCross
UserEvent	1	33	2764714682	# Message: ChoicePhase
UserEvent	1	34	2766987750	# Message: ChoiceLogged_1
UserEvent	1	35	2767493206	# Message: GreenCross
UserEvent	1	36	2768993705	# Message: Trial_8
UserEvent	1	37	2768999266	# Message: WhiteCross
UserEvent	1	38	2771196368	# Message: ChoicePhase
UserEvent	1	39	2774482526	# Message: ChoiceLogged_1
UserEvent	1	40	2774989198	# Message: GreenCross
UserEvent	1	41	2776490042	# Message: Trial_9
UserEvent	1	42	2776491853	# Message: WhiteCross
UserEvent	1	43	2778424747	# Message: ChoicePhase
UserEvent	1	44	2779964252	# Message: ChoiceLogged_1
UserEvent	1	45	2780473451	# Message: GreenCross
UserEvent	1	46	2781977094	# Message: Trial_10
UserEvent	1	47	2781979297	# Message: WhiteCross
UserEvent	1	48	2783622648	# Message: ChoicePhase
UserEvent	1	49	2785561757	# Message: ChoiceLogged_1
UserEvent	1	50	2786064087	# Message: GreenCross
UserEvent	1	51	2787564195	# Message: Trial_11
UserEvent	1	52	2787566663	# Message: WhiteCross
UserEvent	1	53	2789437503	# Message: ChoicePhase
UserEvent	1	54	2792461332	# Message: ChoiceLogged_3
UserEvent	1	55	2792964964	# Message: GreenCross
UserEvent	1	56	2794465117	# Message: Trial_12
UserEvent	1	57	2794467558	# Message: WhiteCross
UserEvent	1	58	2796402981	# Message: ChoicePhase
UserEvent	1	59	2799542286	# Message: ChoiceLogged_3
UserEvent	1	60	2800045359	# Message: GreenCross
UserEvent	1	61	2801545042	# Message: Trial_13
UserEvent	1	62	2801546538	# Message: WhiteCross
UserEvent	1	63	2804715339	# Message: ChoicePhase
UserEvent	1	64	2806404331	# Message: ChoiceLogged_3
UserEvent	1	65	2806908398	# Message: GreenCross
UserEvent	1	66	2808409515	# Message: Trial_14
UserEvent	1	67	2808411993	# Message: WhiteCross
UserEvent	1	68	2810296774	# Message: ChoicePhase
UserEvent	1	69	2813718478	# Message: ChoiceLogged_1
UserEvent	1	70	2814222408	# Message: GreenCross
UserEvent	1	71	2815723045	# Message: Trial_15
UserEvent	1	72	2815724398	# Message: WhiteCross
UserEvent	1	73	2817563356	# Message: ChoicePhase
UserEvent	1	74	2820400923	# Message: ChoiceLogged_3
UserEvent	1	75	2820906398	# Message: GreenCross
UserEvent	1	76	2822407140	# Message: Trial_16
UserEvent	1	77	2822409359	# Message: WhiteCross
UserEvent	1	78	2824408109	# Message: ChoicePhase
UserEvent	1	79	2827846581	# Message: ChoiceLogged_2
UserEvent	1	80	2828350344	# Message: GreenCross
UserEvent	1	81	2829851129	# Message: Trial_17
UserEvent	1	82	2829853381	# Message: WhiteCross
UserEvent	1	83	2831756293	# Message: ChoicePhase
UserEvent	1	84	2835643604	# Message: ChoiceLogged_1
UserEvent	1	85	2836146284	# Message: GreenCross
UserEvent	1	86	2837646600	# Message: Trial_18
UserEvent	1	87	2837648518	# Message: WhiteCross
UserEvent	1	88	2839552312	# Message: ChoicePhase
UserEvent	1	89	2843274369	# Message: ChoiceLogged_1
UserEvent	1	90	2843777503	# Message: GreenCross
UserEvent	1	91	2845277574	# Message: Trial_19
UserEvent	1	92	2845279258	# Message: WhiteCross
UserEvent	1	93	2847550622	# Message: ChoicePhase
UserEvent	1	94	2851138464	# Message: ChoiceLogged_3
UserEvent	1	95	2851643955	# Message: GreenCross
UserEvent	1	96	2853143397	# Message: Trial_20
UserEvent	1	97	2853145056	# Message: WhiteCross
UserEvent	1	98	2855113668	# Message: ChoicePhase
UserEvent	1	99	2857202519	# Message: ChoiceLogged_1
UserEvent	1	100	2857705358	# Message: GreenCross
UserEvent	1	101	2859207058	# Message: Trial_21
UserEvent	1	102	2859211632	# Message: WhiteCross
UserEvent	1	103	2861494318	# Message: ChoicePhase
UserEvent	1	104	2864233443	# Message: ChoiceLogged_3
UserEvent	1	105	2864736699	# Message: GreenCross
UserEvent	1	106	2866237291	# Message: Trial_22
UserEvent	1	107	2866239385	# Message: WhiteCross
UserEvent	1	108	2869577314	# Message: ChoicePhase
UserEvent	1	109	2872482566	# Message: ChoiceLogged_2
UserEvent	1	110	2872986799	# Message: GreenCross
UserEvent	1	111	2874487266	# Message: Trial_23
UserEvent	1	112	2874488798	# Message: WhiteCross
UserEvent	1	113	2876922295	# Message: ChoicePhase
UserEvent	1	114	2879311338	# Message: ChoiceLogged_1
UserEvent	1	115	2879814387	# Message: GreenCross
UserEvent	1	116	2881315147	# Message: Trial_24
UserEvent	1	117	2881316623	# Message: WhiteCross
UserEvent	1	118	2884389419	# Message: ChoicePhase
UserEvent	1	119	2886442747	# Message: ChoiceLogged_3
UserEvent	1	120	2886946804	# Message: GreenCross
UserEvent	1	121	2888445100	# Message: Trial_25
UserEvent	1	122	2888446758	# Message: WhiteCross
UserEvent	1	123	2890469929	# Message: ChoicePhase
UserEvent	1	124	2893506141	# Message: ChoiceLogged_1
UserEvent	1	125	2894009587	# Message: GreenCross
UserEvent	1	126	2895509002	# Message: Trial_26
UserEvent	1	127	2895510883	# Message: WhiteCross
UserEvent	1	128	2897148697	# Message: ChoicePhase
UserEvent	1	129	2899137156	# Message: ChoiceLogged_1
UserEvent	1	130	2899640966	# Message: GreenCross
UserEvent	1	131	2901141367	# Message: Trial_27
UserEvent	1	132	2901146999	# Message: WhiteCross
UserEvent	1	133	2903112815	# Message: ChoicePhase
UserEvent	1	134	2905354464	# Message: ChoiceLogged_1
UserEvent	1	135	2905856493	# Message: GreenCross
UserEvent	1	136	2907355928	# Message: Trial_28
UserEvent	1	137	2907357461	# Message: WhiteCross
UserEvent	1	138	2909160573	# Message: ChoicePhase
UserEvent	1	139	2911982949	# Message: ChoiceLogged_1
UserEvent	1	140	2912485921	# Message: GreenCross
UserEvent	1	141	2913986076	# Message: Trial_29
UserEvent	1	142	2913988601	# Message: WhiteCross
UserEvent	1	143	2915624747	# Message: ChoicePhase
UserEvent	1	144	2919982255	# Message: ChoiceLogged_2
UserEvent	1	145	2920485777	# Message: GreenCross
UserEvent	1	146	2921985783	# Message: Trial_30
UserEvent	1	147	2921987717	# Message: WhiteCross
UserEvent	1	148	2923688980	# Message: ChoicePhase
UserEvent	1	149	2927663456	# Message: ChoiceLogged_3
UserEvent	1	150	2928168829	# Message: GreenCross
UserEvent	1	151	2929671370	# Message: Trial_31
UserEvent	1	152	2929673333	# Message: WhiteCross
UserEvent	1	153	2933385734	# Message: ChoicePhase
UserEvent	1	154	2937406716	# Message: ChoiceLogged_1
UserEvent	1	155	2937909898	# Message: GreenCross
UserEvent	1	156	2939412259	# Message: Trial_32
UserEvent	1	157	2939414571	# Message: WhiteCross
UserEvent	1	158	2941349138	# Message: ChoicePhase
UserEvent	1	159	2945653684	# Message: ChoiceLogged_1
UserEvent	1	160	2946159499	# Message: GreenCross
UserEvent	1	161	2947659872	# Message: Trial_33
UserEvent	1	162	2947664757	# Message: WhiteCross
UserEvent	1	163	2949895568	# Message: ChoicePhase
UserEvent	1	164	2952918351	# Message: ChoiceLogged_2
UserEvent	1	165	2953421547	# Message: GreenCross
