[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID6.idf
Date:	07.03.2019 14:28:50
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID6                                                                                                                                                                                                                                                 
Description:	6                                                                                                                                                                                                                                                               

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	5172208014	# Message: Trial_1
UserEvent	1	2	5172213529	# Message: WhiteCross
UserEvent	1	3	5174381714	# Message: ChoicePhase
UserEvent	1	4	5175970914	# Message: ChoiceLogged_1
UserEvent	1	5	5176473823	# Message: GreenCross
UserEvent	1	6	5177974789	# Message: Trial_2
UserEvent	1	7	5177977088	# Message: WhiteCross
UserEvent	1	8	5179613438	# Message: ChoicePhase
UserEvent	1	9	5181635649	# Message: ChoiceLogged_1
UserEvent	1	10	5182138705	# Message: GreenCross
UserEvent	1	11	5183639457	# Message: Trial_3
UserEvent	1	12	5183640944	# Message: WhiteCross
UserEvent	1	13	5185277517	# Message: ChoicePhase
UserEvent	1	14	5187452696	# Message: ChoiceLogged_2
UserEvent	1	15	5187955518	# Message: GreenCross
UserEvent	1	16	5189455744	# Message: Trial_4
UserEvent	1	17	5189458895	# Message: WhiteCross
UserEvent	1	18	5191094385	# Message: ChoicePhase
UserEvent	1	19	5192598157	# Message: ChoiceLogged_2
UserEvent	1	20	5193100785	# Message: GreenCross
UserEvent	1	21	5194601881	# Message: Trial_5
UserEvent	1	22	5194603952	# Message: WhiteCross
UserEvent	1	23	5196240718	# Message: ChoicePhase
UserEvent	1	24	5198146392	# Message: ChoiceLogged_2
UserEvent	1	25	5198648737	# Message: GreenCross
UserEvent	1	26	5200148620	# Message: Trial_6
UserEvent	1	27	5200151172	# Message: WhiteCross
UserEvent	1	28	5201855480	# Message: ChoicePhase
UserEvent	1	29	5203340582	# Message: ChoiceLogged_3
UserEvent	1	30	5203845303	# Message: GreenCross
UserEvent	1	31	5205345337	# Message: Trial_7
UserEvent	1	32	5205348699	# Message: WhiteCross
UserEvent	1	33	5206986545	# Message: ChoicePhase
UserEvent	1	34	5208225895	# Message: ChoiceLogged_3
UserEvent	1	35	5208728743	# Message: GreenCross
UserEvent	1	36	5210228362	# Message: Trial_8
UserEvent	1	37	5210229927	# Message: WhiteCross
UserEvent	1	38	5211951060	# Message: ChoicePhase
UserEvent	1	39	5213123750	# Message: ChoiceLogged_1
UserEvent	1	40	5213626339	# Message: GreenCross
UserEvent	1	41	5215127555	# Message: Trial_9
UserEvent	1	42	5215132935	# Message: WhiteCross
UserEvent	1	43	5216766651	# Message: ChoicePhase
UserEvent	1	44	5221704138	# Message: ChoiceLogged_1
UserEvent	1	45	5222206650	# Message: GreenCross
UserEvent	1	46	5223706563	# Message: Trial_10
UserEvent	1	47	5223712007	# Message: WhiteCross
UserEvent	1	48	5225346498	# Message: ChoicePhase
UserEvent	1	49	5227019006	# Message: ChoiceLogged_1
UserEvent	1	50	5227521348	# Message: GreenCross
UserEvent	1	51	5229021442	# Message: Trial_11
UserEvent	1	52	5229023102	# Message: WhiteCross
UserEvent	1	53	5230661037	# Message: ChoicePhase
UserEvent	1	54	5232300568	# Message: ChoiceLogged_1
UserEvent	1	55	5232801826	# Message: GreenCross
UserEvent	1	56	5234304507	# Message: Trial_12
UserEvent	1	57	5234306650	# Message: WhiteCross
UserEvent	1	58	5235942742	# Message: ChoicePhase
UserEvent	1	59	5237631973	# Message: ChoiceLogged_1
UserEvent	1	60	5238136205	# Message: GreenCross
UserEvent	1	61	5239636250	# Message: Trial_13
UserEvent	1	62	5239637768	# Message: WhiteCross
UserEvent	1	63	5241273781	# Message: ChoicePhase
UserEvent	1	64	5242813194	# Message: ChoiceLogged_2
UserEvent	1	65	5243315326	# Message: GreenCross
UserEvent	1	66	5244815194	# Message: Trial_14
UserEvent	1	67	5244816450	# Message: WhiteCross
UserEvent	1	68	5246657843	# Message: ChoicePhase
UserEvent	1	69	5248061478	# Message: ChoiceLogged_2
UserEvent	1	70	5248563570	# Message: GreenCross
UserEvent	1	71	5250063410	# Message: Trial_15
UserEvent	1	72	5250065523	# Message: WhiteCross
UserEvent	1	73	5251873861	# Message: ChoicePhase
UserEvent	1	74	5253830922	# Message: ChoiceLogged_1
UserEvent	1	75	5254335537	# Message: GreenCross
UserEvent	1	76	5255839947	# Message: Trial_16
UserEvent	1	77	5255841482	# Message: WhiteCross
UserEvent	1	78	5257668224	# Message: ChoicePhase
UserEvent	1	79	5259261295	# Message: ChoiceLogged_1
UserEvent	1	80	5259765105	# Message: GreenCross
UserEvent	1	81	5261265415	# Message: Trial_17
UserEvent	1	82	5261266847	# Message: WhiteCross
UserEvent	1	83	5262900428	# Message: ChoicePhase
UserEvent	1	84	5264588637	# Message: ChoiceLogged_2
UserEvent	1	85	5265091358	# Message: GreenCross
UserEvent	1	86	5266592009	# Message: Trial_18
UserEvent	1	87	5266593535	# Message: WhiteCross
UserEvent	1	88	5268230757	# Message: ChoicePhase
UserEvent	1	89	5270993344	# Message: ChoiceLogged_2
UserEvent	1	90	5271498576	# Message: GreenCross
UserEvent	1	91	5272998898	# Message: Trial_19
UserEvent	1	92	5273000675	# Message: WhiteCross
UserEvent	1	93	5274645580	# Message: ChoicePhase
UserEvent	1	94	5276037925	# Message: ChoiceLogged_1
UserEvent	1	95	5276541174	# Message: GreenCross
UserEvent	1	96	5278046833	# Message: Trial_20
UserEvent	1	97	5278048833	# Message: WhiteCross
UserEvent	1	98	5279693314	# Message: ChoicePhase
UserEvent	1	99	5281049575	# Message: ChoiceLogged_3
UserEvent	1	100	5281552342	# Message: GreenCross
UserEvent	1	101	5283052909	# Message: Trial_21
UserEvent	1	102	5283054443	# Message: WhiteCross
UserEvent	1	103	5284693597	# Message: ChoicePhase
UserEvent	1	104	5286402536	# Message: ChoiceLogged_3
UserEvent	1	105	5286910414	# Message: GreenCross
UserEvent	1	106	5288410863	# Message: Trial_22
UserEvent	1	107	5288412604	# Message: WhiteCross
UserEvent	1	108	5290056224	# Message: ChoicePhase
UserEvent	1	109	5291429346	# Message: ChoiceLogged_2
UserEvent	1	110	5291932027	# Message: GreenCross
UserEvent	1	111	5293432800	# Message: Trial_23
UserEvent	1	112	5293434317	# Message: WhiteCross
UserEvent	1	113	5295078226	# Message: ChoicePhase
UserEvent	1	114	5296460683	# Message: ChoiceLogged_1
UserEvent	1	115	5296964180	# Message: GreenCross
UserEvent	1	116	5298464789	# Message: Trial_24
UserEvent	1	117	5298469525	# Message: WhiteCross
UserEvent	1	118	5300102795	# Message: ChoicePhase
UserEvent	1	119	5301608781	# Message: ChoiceLogged_2
UserEvent	1	120	5302112008	# Message: GreenCross
UserEvent	1	121	5303610994	# Message: Trial_25
UserEvent	1	122	5303613054	# Message: WhiteCross
UserEvent	1	123	5305251306	# Message: ChoicePhase
UserEvent	1	124	5307590179	# Message: ChoiceLogged_2
UserEvent	1	125	5308092687	# Message: GreenCross
UserEvent	1	126	5309593047	# Message: Trial_26
UserEvent	1	127	5309594116	# Message: WhiteCross
UserEvent	1	128	5311365988	# Message: ChoicePhase
UserEvent	1	129	5312888208	# Message: ChoiceLogged_3
UserEvent	1	130	5313391679	# Message: GreenCross
UserEvent	1	131	5314891752	# Message: Trial_27
UserEvent	1	132	5314893222	# Message: WhiteCross
UserEvent	1	133	5316963454	# Message: ChoicePhase
UserEvent	1	134	5318952863	# Message: ChoiceLogged_1
UserEvent	1	135	5319455698	# Message: GreenCross
UserEvent	1	136	5320954641	# Message: Trial_28
UserEvent	1	137	5320956195	# Message: WhiteCross
UserEvent	1	138	5322601990	# Message: ChoicePhase
UserEvent	1	139	5324135971	# Message: ChoiceLogged_3
UserEvent	1	140	5324639809	# Message: GreenCross
UserEvent	1	141	5326139925	# Message: Trial_29
UserEvent	1	142	5326141335	# Message: WhiteCross
UserEvent	1	143	5327811508	# Message: ChoicePhase
UserEvent	1	144	5328865602	# Message: ChoiceLogged_2
UserEvent	1	145	5329372233	# Message: GreenCross
UserEvent	1	146	5330872934	# Message: Trial_30
UserEvent	1	147	5330878763	# Message: WhiteCross
UserEvent	1	148	5332511465	# Message: ChoicePhase
UserEvent	1	149	5334166092	# Message: ChoiceLogged_1
UserEvent	1	150	5334669997	# Message: GreenCross
UserEvent	1	151	5336170509	# Message: Trial_31
UserEvent	1	152	5336172910	# Message: WhiteCross
UserEvent	1	153	5337809780	# Message: ChoicePhase
UserEvent	1	154	5339065354	# Message: ChoiceLogged_1
UserEvent	1	155	5339568679	# Message: GreenCross
UserEvent	1	156	5341068918	# Message: Trial_32
UserEvent	1	157	5341071128	# Message: WhiteCross
UserEvent	1	158	5342773949	# Message: ChoicePhase
UserEvent	1	159	5343993915	# Message: ChoiceLogged_1
UserEvent	1	160	5344497974	# Message: GreenCross
UserEvent	1	161	5346000486	# Message: Trial_33
UserEvent	1	162	5346002316	# Message: WhiteCross
UserEvent	1	163	5347737883	# Message: ChoicePhase
UserEvent	1	164	5348993530	# Message: ChoiceLogged_1
UserEvent	1	165	5349496675	# Message: GreenCross
UserEvent	1	166	5350996695	# Message: Trial_34
UserEvent	1	167	5350998209	# Message: WhiteCross
UserEvent	1	168	5352637928	# Message: ChoicePhase
UserEvent	1	169	5354206716	# Message: ChoiceLogged_3
UserEvent	1	170	5354710589	# Message: GreenCross
UserEvent	1	171	5356211371	# Message: Trial_35
UserEvent	1	172	5356212901	# Message: WhiteCross
UserEvent	1	173	5357849143	# Message: ChoicePhase
UserEvent	1	174	5359321236	# Message: ChoiceLogged_2
UserEvent	1	175	5359824519	# Message: GreenCross
UserEvent	1	176	5361327662	# Message: Trial_36
UserEvent	1	177	5361329850	# Message: WhiteCross
UserEvent	1	178	5362963746	# Message: ChoicePhase
UserEvent	1	179	5364552753	# Message: ChoiceLogged_3
UserEvent	1	180	5365056608	# Message: GreenCross
UserEvent	1	181	5366557355	# Message: Trial_37
UserEvent	1	182	5366559150	# Message: WhiteCross
UserEvent	1	183	5368199046	# Message: ChoicePhase
