[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID4.idf
Date:	07.03.2019 10:01:36
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID4                                                                                                                                                                                                                                                 
Description:	4                                                                                                                                                                                                                                                               

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	8036780461	# Message: Trial_1
UserEvent	1	2	8036785882	# Message: WhiteCross
UserEvent	1	3	8039717978	# Message: ChoicePhase
UserEvent	1	4	8041158807	# Message: ChoiceLogged_3
UserEvent	1	5	8041664712	# Message: GreenCross
UserEvent	1	6	8043166937	# Message: Trial_2
UserEvent	1	7	8043168588	# Message: WhiteCross
UserEvent	1	8	8044966259	# Message: ChoicePhase
UserEvent	1	9	8046654848	# Message: ChoiceLogged_1
UserEvent	1	10	8047157880	# Message: GreenCross
UserEvent	1	11	8048658166	# Message: Trial_3
UserEvent	1	12	8048660529	# Message: WhiteCross
UserEvent	1	13	8050296950	# Message: ChoicePhase
UserEvent	1	14	8051969499	# Message: ChoiceLogged_2
UserEvent	1	15	8052471778	# Message: GreenCross
UserEvent	1	16	8053972112	# Message: Trial_4
UserEvent	1	17	8053974389	# Message: WhiteCross
UserEvent	1	18	8055614962	# Message: ChoicePhase
UserEvent	1	19	8056584444	# Message: ChoiceLogged_2
UserEvent	1	20	8057088860	# Message: GreenCross
UserEvent	1	21	8058589448	# Message: Trial_5
UserEvent	1	22	8058590006	# Message: WhiteCross
UserEvent	1	23	8060230028	# Message: ChoicePhase
UserEvent	1	24	8062015879	# Message: ChoiceLogged_2
UserEvent	1	25	8062517797	# Message: GreenCross
UserEvent	1	26	8064017995	# Message: Trial_6
UserEvent	1	27	8064021270	# Message: WhiteCross
UserEvent	1	28	8065658672	# Message: ChoicePhase
UserEvent	1	29	8067314020	# Message: ChoiceLogged_2
UserEvent	1	30	8067817358	# Message: GreenCross
UserEvent	1	31	8069316691	# Message: Trial_7
UserEvent	1	32	8069319278	# Message: WhiteCross
UserEvent	1	33	8071189428	# Message: ChoicePhase
UserEvent	1	34	8073178496	# Message: ChoiceLogged_1
UserEvent	1	35	8073680655	# Message: GreenCross
UserEvent	1	36	8075180802	# Message: Trial_8
UserEvent	1	37	8075183360	# Message: WhiteCross
UserEvent	1	38	8077353725	# Message: ChoicePhase
UserEvent	1	39	8078909842	# Message: ChoiceLogged_3
UserEvent	1	40	8079412228	# Message: GreenCross
UserEvent	1	41	8080911493	# Message: Trial_9
UserEvent	1	42	8080913105	# Message: WhiteCross
UserEvent	1	43	8082585199	# Message: ChoicePhase
UserEvent	1	44	8084241034	# Message: ChoiceLogged_2
UserEvent	1	45	8084744524	# Message: GreenCross
UserEvent	1	46	8086245227	# Message: Trial_10
UserEvent	1	47	8086246209	# Message: WhiteCross
UserEvent	1	48	8088350442	# Message: ChoicePhase
UserEvent	1	49	8090557399	# Message: ChoiceLogged_1
UserEvent	1	50	8091063148	# Message: GreenCross
UserEvent	1	51	8092563411	# Message: Trial_11
UserEvent	1	52	8092568221	# Message: WhiteCross
UserEvent	1	53	8094200371	# Message: ChoicePhase
UserEvent	1	54	8095803602	# Message: ChoiceLogged_2
UserEvent	1	55	8096306791	# Message: GreenCross
UserEvent	1	56	8097808153	# Message: Trial_12
UserEvent	1	57	8097810178	# Message: WhiteCross
UserEvent	1	58	8099683191	# Message: ChoicePhase
UserEvent	1	59	8102786225	# Message: ChoiceLogged_2
UserEvent	1	60	8103292094	# Message: GreenCross
UserEvent	1	61	8104792583	# Message: Trial_13
UserEvent	1	62	8104793927	# Message: WhiteCross
UserEvent	1	63	8106443226	# Message: ChoicePhase
UserEvent	1	64	8108550519	# Message: ChoiceLogged_2
UserEvent	1	65	8109053279	# Message: GreenCross
UserEvent	1	66	8110553307	# Message: Trial_14
UserEvent	1	67	8110557701	# Message: WhiteCross
UserEvent	1	68	8112191049	# Message: ChoicePhase
UserEvent	1	69	8113913663	# Message: ChoiceLogged_2
UserEvent	1	70	8114416534	# Message: GreenCross
UserEvent	1	71	8115915181	# Message: Trial_15
UserEvent	1	72	8115917208	# Message: WhiteCross
UserEvent	1	73	8117555814	# Message: ChoicePhase
UserEvent	1	74	8121361414	# Message: ChoiceLogged_1
UserEvent	1	75	8121864957	# Message: GreenCross
UserEvent	1	76	8123365616	# Message: Trial_16
UserEvent	1	77	8123368355	# Message: WhiteCross
UserEvent	1	78	8125307464	# Message: ChoicePhase
UserEvent	1	79	8126826433	# Message: ChoiceLogged_3
UserEvent	1	80	8127330581	# Message: GreenCross
UserEvent	1	81	8128831359	# Message: Trial_17
UserEvent	1	82	8128833681	# Message: WhiteCross
UserEvent	1	83	8130468017	# Message: ChoicePhase
UserEvent	1	84	8132074156	# Message: ChoiceLogged_2
UserEvent	1	85	8132576778	# Message: GreenCross
UserEvent	1	86	8134075986	# Message: Trial_18
UserEvent	1	87	8134077670	# Message: WhiteCross
UserEvent	1	88	8135716339	# Message: ChoicePhase
UserEvent	1	89	8136722141	# Message: ChoiceLogged_1
UserEvent	1	90	8137224713	# Message: GreenCross
UserEvent	1	91	8138727396	# Message: Trial_19
UserEvent	1	92	8138729525	# Message: WhiteCross
UserEvent	1	93	8140364165	# Message: ChoicePhase
UserEvent	1	94	8141654347	# Message: ChoiceLogged_2
UserEvent	1	95	8142160318	# Message: GreenCross
UserEvent	1	96	8143661075	# Message: Trial_20
UserEvent	1	97	8143663587	# Message: WhiteCross
UserEvent	1	98	8146045778	# Message: ChoicePhase
UserEvent	1	99	8148235219	# Message: ChoiceLogged_3
UserEvent	1	100	8148741142	# Message: GreenCross
UserEvent	1	101	8150241427	# Message: Trial_21
UserEvent	1	102	8150242520	# Message: WhiteCross
UserEvent	1	103	8152260695	# Message: ChoicePhase
UserEvent	1	104	8153249543	# Message: ChoiceLogged_1
UserEvent	1	105	8153751858	# Message: GreenCross
UserEvent	1	106	8155251849	# Message: Trial_22
UserEvent	1	107	8155256243	# Message: WhiteCross
UserEvent	1	108	8156891493	# Message: ChoicePhase
UserEvent	1	109	8158214792	# Message: ChoiceLogged_3
UserEvent	1	110	8158717775	# Message: GreenCross
UserEvent	1	111	8160217820	# Message: Trial_23
UserEvent	1	112	8160219552	# Message: WhiteCross
UserEvent	1	113	8163856948	# Message: ChoicePhase
UserEvent	1	114	8165195047	# Message: ChoiceLogged_1
UserEvent	1	115	8165698739	# Message: GreenCross
UserEvent	1	116	8167198769	# Message: Trial_24
UserEvent	1	117	8167200307	# Message: WhiteCross
UserEvent	1	118	8168837583	# Message: ChoicePhase
UserEvent	1	119	8169776706	# Message: ChoiceLogged_3
UserEvent	1	120	8170280080	# Message: GreenCross
UserEvent	1	121	8171780797	# Message: Trial_25
UserEvent	1	122	8171785642	# Message: WhiteCross
UserEvent	1	123	8173619061	# Message: ChoicePhase
UserEvent	1	124	8174425383	# Message: ChoiceLogged_1
