[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID17.idf
Date:	12.03.2019 14:38:22
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID16                                                                                                                                                                                                                                                
Description:	16                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	25002419579	# Message: Trial_1
UserEvent	1	2	25002420947	# Message: WhiteCross
UserEvent	1	3	25004231693	# Message: ChoicePhase
UserEvent	1	4	25008536614	# Message: ChoiceLogged_1
UserEvent	1	5	25009039397	# Message: GreenCross
UserEvent	1	6	25010539403	# Message: Trial_2
UserEvent	1	7	25010541049	# Message: WhiteCross
UserEvent	1	8	25012411973	# Message: ChoicePhase
UserEvent	1	9	25015201354	# Message: ChoiceLogged_2
UserEvent	1	10	25015703428	# Message: GreenCross
UserEvent	1	11	25017203207	# Message: Trial_3
UserEvent	1	12	25017204855	# Message: WhiteCross
UserEvent	1	13	25019109455	# Message: ChoicePhase
UserEvent	1	14	25024914000	# Message: ChoiceLogged_1
UserEvent	1	15	25025416300	# Message: GreenCross
UserEvent	1	16	25026916725	# Message: Trial_4
UserEvent	1	17	25026917840	# Message: WhiteCross
UserEvent	1	18	25028822963	# Message: ChoicePhase
UserEvent	1	19	25030961776	# Message: ChoiceLogged_2
UserEvent	1	20	25031463218	# Message: GreenCross
UserEvent	1	21	25032963311	# Message: Trial_5
UserEvent	1	22	25032965458	# Message: WhiteCross
UserEvent	1	23	25034870411	# Message: ChoicePhase
UserEvent	1	24	25037026268	# Message: ChoiceLogged_1
UserEvent	1	25	25037528674	# Message: GreenCross
UserEvent	1	26	25039028081	# Message: Trial_6
UserEvent	1	27	25039029859	# Message: WhiteCross
UserEvent	1	28	25040668343	# Message: ChoicePhase
UserEvent	1	29	25043007489	# Message: ChoiceLogged_1
UserEvent	1	30	25043509149	# Message: GreenCross
UserEvent	1	31	25045009001	# Message: Trial_7
UserEvent	1	32	25045010698	# Message: WhiteCross
UserEvent	1	33	25046916530	# Message: ChoicePhase
UserEvent	1	34	25054403683	# Message: ChoiceLogged_2
UserEvent	1	35	25054905099	# Message: GreenCross
UserEvent	1	36	25056404980	# Message: Trial_8
UserEvent	1	37	25056406591	# Message: WhiteCross
UserEvent	1	38	25058411911	# Message: ChoicePhase
UserEvent	1	39	25060284606	# Message: ChoiceLogged_2
UserEvent	1	40	25060786190	# Message: GreenCross
UserEvent	1	41	25062286003	# Message: Trial_9
UserEvent	1	42	25062287623	# Message: WhiteCross
UserEvent	1	43	25064343162	# Message: ChoicePhase
UserEvent	1	44	25066582259	# Message: ChoiceLogged_1
UserEvent	1	45	25067083945	# Message: GreenCross
UserEvent	1	46	25068583890	# Message: Trial_10
UserEvent	1	47	25068585416	# Message: WhiteCross
UserEvent	1	48	25070624227	# Message: ChoicePhase
UserEvent	1	49	25073613432	# Message: ChoiceLogged_3
UserEvent	1	50	25074114959	# Message: GreenCross
UserEvent	1	51	25075614968	# Message: Trial_11
UserEvent	1	52	25075616967	# Message: WhiteCross
UserEvent	1	53	25077288987	# Message: ChoicePhase
UserEvent	1	54	25080177336	# Message: ChoiceLogged_3
UserEvent	1	55	25080678903	# Message: GreenCross
UserEvent	1	56	25082177779	# Message: Trial_12
UserEvent	1	57	25082179390	# Message: WhiteCross
UserEvent	1	58	25084002737	# Message: ChoicePhase
UserEvent	1	59	25089240759	# Message: ChoiceLogged_1
UserEvent	1	60	25089742889	# Message: GreenCross
UserEvent	1	61	25091242831	# Message: Trial_13
UserEvent	1	62	25091244375	# Message: WhiteCross
UserEvent	1	63	25093516422	# Message: ChoicePhase
UserEvent	1	64	25096838034	# Message: ChoiceLogged_3
UserEvent	1	65	25097339806	# Message: GreenCross
UserEvent	1	66	25098839667	# Message: Trial_14
UserEvent	1	67	25098841304	# Message: WhiteCross
UserEvent	1	68	25100480136	# Message: ChoicePhase
UserEvent	1	69	25105501621	# Message: ChoiceLogged_1
UserEvent	1	70	25106003789	# Message: GreenCross
UserEvent	1	71	25107503624	# Message: Trial_15
UserEvent	1	72	25107505953	# Message: WhiteCross
UserEvent	1	73	25109810343	# Message: ChoicePhase
UserEvent	1	74	25111183145	# Message: ChoiceLogged_1
UserEvent	1	75	25111684670	# Message: GreenCross
UserEvent	1	76	25113184513	# Message: Trial_16
UserEvent	1	77	25113188655	# Message: WhiteCross
UserEvent	1	78	25115374773	# Message: ChoicePhase
UserEvent	1	79	25117630550	# Message: ChoiceLogged_1
UserEvent	1	80	25118132641	# Message: GreenCross
UserEvent	1	81	25119632531	# Message: Trial_17
UserEvent	1	82	25119634117	# Message: WhiteCross
UserEvent	1	83	25121639190	# Message: ChoicePhase
UserEvent	1	84	25123212027	# Message: ChoiceLogged_2
UserEvent	1	85	25123713626	# Message: GreenCross
UserEvent	1	86	25125213478	# Message: Trial_18
UserEvent	1	87	25125217136	# Message: WhiteCross
UserEvent	1	88	25127337100	# Message: ChoicePhase
UserEvent	1	89	25130042735	# Message: ChoiceLogged_3
UserEvent	1	90	25130544627	# Message: GreenCross
UserEvent	1	91	25132044502	# Message: Trial_19
UserEvent	1	92	25132046090	# Message: WhiteCross
UserEvent	1	93	25134351190	# Message: ChoicePhase
UserEvent	1	94	25137223467	# Message: ChoiceLogged_2
UserEvent	1	95	25137725559	# Message: GreenCross
UserEvent	1	96	25139225429	# Message: Trial_20
UserEvent	1	97	25139227053	# Message: WhiteCross
UserEvent	1	98	25141482050	# Message: ChoicePhase
UserEvent	1	99	25145753692	# Message: ChoiceLogged_1
UserEvent	1	100	25146255523	# Message: GreenCross
UserEvent	1	101	25147755353	# Message: Trial_21
UserEvent	1	102	25147760184	# Message: WhiteCross
UserEvent	1	103	25150412130	# Message: ChoicePhase
UserEvent	1	104	25154034090	# Message: ChoiceLogged_3
UserEvent	1	105	25154537409	# Message: GreenCross
UserEvent	1	106	25156037351	# Message: Trial_22
UserEvent	1	107	25156038859	# Message: WhiteCross
UserEvent	1	108	25161474805	# Message: ChoicePhase
UserEvent	1	109	25163963820	# Message: ChoiceLogged_2
UserEvent	1	110	25164466874	# Message: GreenCross
UserEvent	1	111	25165966236	# Message: Trial_23
UserEvent	1	112	25165967878	# Message: WhiteCross
UserEvent	1	113	25168438987	# Message: ChoicePhase
UserEvent	1	114	25170195108	# Message: ChoiceLogged_3
UserEvent	1	115	25170697334	# Message: GreenCross
UserEvent	1	116	25172197195	# Message: Trial_24
UserEvent	1	117	25172198841	# Message: WhiteCross
UserEvent	1	118	25174520104	# Message: ChoicePhase
UserEvent	1	119	25176309409	# Message: ChoiceLogged_3
UserEvent	1	120	25176811294	# Message: GreenCross
UserEvent	1	121	25178311108	# Message: Trial_25
UserEvent	1	122	25178312851	# Message: WhiteCross
UserEvent	1	123	25180251355	# Message: ChoicePhase
UserEvent	1	124	25182141020	# Message: ChoiceLogged_1
UserEvent	1	125	25182642276	# Message: GreenCross
UserEvent	1	126	25184142132	# Message: Trial_26
