[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID24.idf
Date:	14.03.2019 07:31:38
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID24                                                                                                                                                                                                                                                
Description:	24                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	1247086329	# Message: Trial_1
UserEvent	1	2	1247092083	# Message: WhiteCross
UserEvent	1	3	1248721177	# Message: ChoicePhase
UserEvent	1	4	1251376300	# Message: ChoiceLogged_3
UserEvent	1	5	1251879500	# Message: GreenCross
UserEvent	1	6	1253380401	# Message: Trial_2
UserEvent	1	7	1253381839	# Message: WhiteCross
UserEvent	1	8	1255368720	# Message: ChoicePhase
UserEvent	1	9	1258973620	# Message: ChoiceLogged_2
UserEvent	1	10	1259477593	# Message: GreenCross
UserEvent	1	11	1260978455	# Message: Trial_3
UserEvent	1	12	1260980908	# Message: WhiteCross
UserEvent	1	13	1263767904	# Message: ChoicePhase
UserEvent	1	14	1265373953	# Message: ChoiceLogged_1
UserEvent	1	15	1265877028	# Message: GreenCross
UserEvent	1	16	1267381512	# Message: Trial_4
UserEvent	1	17	1267383831	# Message: WhiteCross
UserEvent	1	18	1269014056	# Message: ChoicePhase
UserEvent	1	19	1270888113	# Message: ChoiceLogged_1
UserEvent	1	20	1271391558	# Message: GreenCross
UserEvent	1	21	1272893145	# Message: Trial_5
UserEvent	1	22	1272899361	# Message: WhiteCross
