[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID16.idf
Date:	12.03.2019 13:15:26
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	S3_3AFC_Eye_ID16                                                                                                                                                                                                                                                
Description:	16                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	20026418955	# Message: Trial_1
UserEvent	1	2	20026423905	# Message: WhiteCross
UserEvent	1	3	20028893808	# Message: ChoicePhase
UserEvent	1	4	20031082311	# Message: ChoiceLogged_3
UserEvent	1	5	20031590493	# Message: GreenCross
UserEvent	1	6	20033092616	# Message: Trial_2
UserEvent	1	7	20033094847	# Message: WhiteCross
UserEvent	1	8	20034740020	# Message: ChoicePhase
UserEvent	1	9	20036716306	# Message: ChoiceLogged_2
UserEvent	1	10	20037219230	# Message: GreenCross
UserEvent	1	11	20038719448	# Message: Trial_3
UserEvent	1	12	20038721872	# Message: WhiteCross
UserEvent	1	13	20040357237	# Message: ChoicePhase
UserEvent	1	14	20042385044	# Message: ChoiceLogged_1
UserEvent	1	15	20042890744	# Message: GreenCross
UserEvent	1	16	20044391424	# Message: Trial_4
UserEvent	1	17	20044393800	# Message: WhiteCross
UserEvent	1	18	20046035983	# Message: ChoicePhase
UserEvent	1	19	20048408370	# Message: ChoiceLogged_1
UserEvent	1	20	20048911248	# Message: GreenCross
UserEvent	1	21	20050412738	# Message: Trial_5
UserEvent	1	22	20050414712	# Message: WhiteCross
UserEvent	1	23	20052051470	# Message: ChoicePhase
UserEvent	1	24	20055522713	# Message: ChoiceLogged_3
UserEvent	1	25	20056030374	# Message: GreenCross
UserEvent	1	26	20057531294	# Message: Trial_6
UserEvent	1	27	20057535686	# Message: WhiteCross
UserEvent	1	28	20059164396	# Message: ChoicePhase
UserEvent	1	29	20061790137	# Message: ChoiceLogged_2
UserEvent	1	30	20062293107	# Message: GreenCross
UserEvent	1	31	20063792012	# Message: Trial_7
UserEvent	1	32	20063793866	# Message: WhiteCross
UserEvent	1	33	20065795147	# Message: ChoicePhase
UserEvent	1	34	20068867354	# Message: ChoiceLogged_3
UserEvent	1	35	20069369978	# Message: GreenCross
UserEvent	1	36	20070870377	# Message: Trial_8
UserEvent	1	37	20070872480	# Message: WhiteCross
UserEvent	1	38	20072909352	# Message: ChoicePhase
UserEvent	1	39	20075432204	# Message: ChoiceLogged_1
UserEvent	1	40	20075936333	# Message: GreenCross
UserEvent	1	41	20077439556	# Message: Trial_9
UserEvent	1	42	20077443786	# Message: WhiteCross
UserEvent	1	43	20080175577	# Message: ChoicePhase
UserEvent	1	44	20083512602	# Message: ChoiceLogged_3
UserEvent	1	45	20084014941	# Message: GreenCross
UserEvent	1	46	20085515111	# Message: Trial_10
UserEvent	1	47	20085517373	# Message: WhiteCross
UserEvent	1	48	20087321125	# Message: ChoicePhase
UserEvent	1	49	20088463236	# Message: ChoiceLogged_3
UserEvent	1	50	20088967413	# Message: GreenCross
UserEvent	1	51	20090468108	# Message: Trial_11
UserEvent	1	52	20090469128	# Message: WhiteCross
UserEvent	1	53	20092370912	# Message: ChoicePhase
UserEvent	1	54	20094478134	# Message: ChoiceLogged_3
UserEvent	1	55	20094980883	# Message: GreenCross
UserEvent	1	56	20096481404	# Message: Trial_12
UserEvent	1	57	20096483593	# Message: WhiteCross
UserEvent	1	58	20098650478	# Message: ChoicePhase
UserEvent	1	59	20102239010	# Message: ChoiceLogged_3
UserEvent	1	60	20102741199	# Message: GreenCross
UserEvent	1	61	20104242672	# Message: Trial_13
UserEvent	1	62	20104244272	# Message: WhiteCross
UserEvent	1	63	20106747399	# Message: ChoicePhase
UserEvent	1	64	20109336361	# Message: ChoiceLogged_3
UserEvent	1	65	20109840814	# Message: GreenCross
UserEvent	1	66	20111340883	# Message: Trial_14
UserEvent	1	67	20111342659	# Message: WhiteCross
UserEvent	1	68	20114144496	# Message: ChoicePhase
UserEvent	1	69	20115867081	# Message: ChoiceLogged_2
UserEvent	1	70	20116369922	# Message: GreenCross
UserEvent	1	71	20117870630	# Message: Trial_15
UserEvent	1	72	20117872200	# Message: WhiteCross
UserEvent	1	73	20120758759	# Message: ChoicePhase
UserEvent	1	74	20121899254	# Message: ChoiceLogged_1
UserEvent	1	75	20122402798	# Message: GreenCross
UserEvent	1	76	20123906730	# Message: Trial_16
UserEvent	1	77	20123908048	# Message: WhiteCross
UserEvent	1	78	20125940234	# Message: ChoicePhase
UserEvent	1	79	20127312916	# Message: ChoiceLogged_3
UserEvent	1	80	20127816129	# Message: GreenCross
UserEvent	1	81	20129316645	# Message: Trial_17
UserEvent	1	82	20129318184	# Message: WhiteCross
UserEvent	1	83	20131360034	# Message: ChoicePhase
UserEvent	1	84	20133260985	# Message: ChoiceLogged_1
UserEvent	1	85	20133766733	# Message: GreenCross
UserEvent	1	86	20135266539	# Message: Trial_18
UserEvent	1	87	20135268102	# Message: WhiteCross
UserEvent	1	88	20140022655	# Message: ChoicePhase
UserEvent	1	89	20146274791	# Message: ChoiceLogged_3
UserEvent	1	90	20146777632	# Message: GreenCross
