[iView]
Converted from:	C:\Users\iView X\Desktop\SebastianGluth\OUTPUT\EyeTrackingData_ID12.idf
Date:	11.03.2019 16:39:13
Version:	IDF Event Detector 3.0.18
Sample Rate:	500
Subject:	ABORTED_S3_3AFC_Eye_ID12                                                                                                                                                                                                                                        
Description:	12                                                                                                                                                                                                                                                              

Table Header for Fixations:
Event Type	Trial	Number	Start	End	Duration	Location X	Location Y	Dispersion X	Dispersion Y	Plane	Avg. Pupil Size X	Avg Pupil Size Y

Table Header for Saccades:
Event Type	Trial	Number	Start	End	Duration	Start Loc.X	Start Loc.Y	End Loc.X	End Loc.Y	Amplitude	Peak Speed	Peak Speed At	Average Speed	Peak Accel.	Peak Decel.	Average Accel.

Table Header for Blinks:
Event Type	Trial	Number	Start	End	Duration

Table Header for User Events:
Event Type	Trial	Number	Start	Description

UserEvent	1	1	16192586095	# Message: Trial_1
UserEvent	1	2	16192588437	# Message: WhiteCross
UserEvent	1	3	16194640494	# Message: ChoicePhase
UserEvent	1	4	16197462335	# Message: ChoiceLogged_2
UserEvent	1	5	16197967099	# Message: GreenCross
UserEvent	1	6	16199468113	# Message: Trial_2
UserEvent	1	7	16199470700	# Message: WhiteCross
UserEvent	1	8	16201438564	# Message: ChoicePhase
UserEvent	1	9	16203510492	# Message: ChoiceLogged_1
UserEvent	1	10	16204013907	# Message: GreenCross
UserEvent	1	11	16205513990	# Message: Trial_3
UserEvent	1	12	16205516313	# Message: WhiteCross
UserEvent	1	13	16207255062	# Message: ChoicePhase
UserEvent	1	14	16210262527	# Message: ChoiceLogged_1
UserEvent	1	15	16210765989	# Message: GreenCross
UserEvent	1	16	16212266398	# Message: Trial_4
UserEvent	1	17	16212268532	# Message: WhiteCross
UserEvent	1	18	16214150178	# Message: ChoicePhase
UserEvent	1	19	16215772844	# Message: ChoiceLogged_3
UserEvent	1	20	16216276245	# Message: GreenCross
UserEvent	1	21	16217776784	# Message: Trial_5
UserEvent	1	22	16217778754	# Message: WhiteCross
UserEvent	1	23	16219649532	# Message: ChoicePhase
UserEvent	1	24	16223488048	# Message: ChoiceLogged_1
UserEvent	1	25	16223992234	# Message: GreenCross
UserEvent	1	26	16225493803	# Message: Trial_6
UserEvent	1	27	16225495698	# Message: WhiteCross
UserEvent	1	28	16227130416	# Message: ChoicePhase
UserEvent	1	29	16229318304	# Message: ChoiceLogged_1
UserEvent	1	30	16229820147	# Message: GreenCross
UserEvent	1	31	16231321278	# Message: Trial_7
UserEvent	1	32	16231324984	# Message: WhiteCross
UserEvent	1	33	16233194984	# Message: ChoicePhase
UserEvent	1	34	16235715932	# Message: ChoiceLogged_2
UserEvent	1	35	16236219049	# Message: GreenCross
UserEvent	1	36	16237720292	# Message: Trial_8
UserEvent	1	37	16237721695	# Message: WhiteCross
UserEvent	1	38	16240058173	# Message: ChoicePhase
UserEvent	1	39	16242031003	# Message: ChoiceLogged_3
UserEvent	1	40	16242538041	# Message: GreenCross
UserEvent	1	41	16244038191	# Message: Trial_9
UserEvent	1	42	16244043134	# Message: WhiteCross
UserEvent	1	43	16245875579	# Message: ChoicePhase
UserEvent	1	44	16248528003	# Message: ChoiceLogged_1
UserEvent	1	45	16249032209	# Message: GreenCross
UserEvent	1	46	16250532509	# Message: Trial_10
UserEvent	1	47	16250537710	# Message: WhiteCross
UserEvent	1	48	16252262302	# Message: ChoicePhase
UserEvent	1	49	16254160671	# Message: ChoiceLogged_3
UserEvent	1	50	16254664197	# Message: GreenCross
UserEvent	1	51	16256164134	# Message: Trial_11
UserEvent	1	52	16256165747	# Message: WhiteCross
UserEvent	1	53	16257806726	# Message: ChoicePhase
UserEvent	1	54	16258974421	# Message: ChoiceLogged_3
UserEvent	1	55	16259476452	# Message: GreenCross
UserEvent	1	56	16260976182	# Message: Trial_12
UserEvent	1	57	16260981245	# Message: WhiteCross
UserEvent	1	58	16263032944	# Message: ChoicePhase
UserEvent	1	59	16264989394	# Message: ChoiceLogged_3
UserEvent	1	60	16265493422	# Message: GreenCross
UserEvent	1	61	16266993432	# Message: Trial_13
